hhc,snare,kick
x-x-x-x-x-x-x-x-,---x--------x---,x-------x------x
x-x-x-x-x-x-x-x-,---x--------x--x,x-------x-------
x-xx--x-xx--x-xx,-----------x----,x-x-------------
xxxx--xxxx--xxxx,-----x-----x-x-x,x-x-------------
x-x-x-x-x-x-x-x-,---x---------x--,x---------x-x---
--------x-----x-,-----x-------x--,x--x-----x-x----
----------------,-----x-------x--,x--x-----x-x----
x-x-x-x-x-x-x-x-,-----xx------x--,x--x-------x----
x-x-x-x-x-x-x-x-,-----x-----x---x,x-x-------x-----
x-x-x-x-x-x-x-x-,---x-xx---xx----,x------x-------x
